gmina;Rok;nr_sprawy;lokalizacja;nr_dzialki;pow_kamieni; wartosc_kamieni 
Pu?sk;2024;80;Wo?y?ce;"
116";1,52; 2,280.00 z? 
Przerosl, Jeleniewo;2024;81;Zarzecze Jeleniewskie;"154,155,
34/4";5,8; 12,180.00 z? 
Raczki;2024;82;Sucha Wie?;278,279,314/4;10; 14,000.00 z? 
Raczki;2024;83;Sucha Wie?;"309/5,313/3,348/3
4/4";7,45; 17,270.00 z? 
Giby;2024;84;Pomorze;174,175/1,190;7,14; 9,430.00 z? 
Sejny;2024;85;Po?kuny;"1/2
32";3,6; 6,130.00 z? 
Filipów;2024;86;Huta;"24,26,50/1,
117";4,2; 9,030.00 z? 
Baka?arzewo;2024;87;Kamionka Poprzeczna;"32,63,64
9/6";8,69; 18,980.00 z? 
Suwa?ki;2024;88;Korobiec;"70
36";6,15; 14,180.00 z? 
Baka?arzewo;2024;89;Nowa Wie?;110/2,122/1,127;8,19; 15,810.00 z? 
Pu?sk;2024;90;Trakiszki;24;3,5; 3,850.00 z? 
Suwa?ki;2022;5;Turówka Nowa;43;4,66; 17,000.00 z? 
Sejny;2022;7;Ho?ny Wolmera;309;6,92; 13,180.00 z? 
Pu?sk;2022;8;Wo?y?ce;121;2,88; 5,480.00 z? 
Przero?l;2022;9;?anowicze Du?e;43, 45;5,42; 8,830.00 z? 
Sejny;2022;11;Bosse;9;4,15; 5,590.00 z? 
Micha?owo;2022;12;Nowa Wola;28, 30, 453, 697;9,95; 15,300.00 z? 
Pu?sk;2022;13;Szo?tany;200;4,5; 12,500.00 z? 
Sejny;2022;14;Krejwi?ce;19/1, 21/1, 31, 33, 34;6,39; 8,630.00 z? 
Pu?sk;2022;15;Kompocie;11, 12, 91;4,86; 14,870.00 z? 
Sejny;2022;16;Krasnogruda;96/1;2,91; 8,900.00 z? 
Suwa?ki;2022;17;Potasznia;83/2, 93/2, 98/2, 121/2, 126/2;5,8; 11,040.00 z? 
Pu?sk;2022;19;Szlinokiemie;137/2;5; 15,320.00 z? 
Pu?sk;2022;20;Szlinokiemie;181, 182, 191/1, 193/1;5,15; 15,780.00 z? 
Krasnopol;2022;21;Piotrowa D?browa;115, 116, 127/3;7,77; 14,800.00 z? 
Przero?l;2022;22;Nowa Paw?ówka;36;7,51; 14,300.00 z? 
Wyszki;2022;25;Wyszki;76/5;0,64; 1,320.00 z? 
Juchnowiec Ko?cielny;2022;26;Wojszki;254, 489;9,17; 17,410.00 z? 
Rutki;2022;27;Gr?dy Woniecko;1118;9,5; 15,770.00 z? 
Rutki;2022;30;O?ary Wielkie;1291, 1292;6,59; 11,190.00 z? 
Sokó?ka;2022;31;Gliniszcze Wielkie;20/1,154/5,154/6,154/7,154/8;5,02; 4,000.00 z? 
Ja?wi?y;2022;32;Bagno;"252
11/10, 24/1, 24/2";10; 17,040.00 z? 
Ja?wi?y;2022;33;Bobrówka;"56/9
841";10; 16,830.00 z? 
Ja?wi?y;2022;34;Ja?wi?ki;7;10; 16,800.00 z? 
Przero?l;2022;36;Ha?cza;325, 331, 334, 336, 339;2,97; 21,570.00 z? 
Pu?sk;2022;37;Kompocie;15;7,43; 14,710.00 z? 
Filipów;2022;38;Bartnia Góra;"11/4,
252/1, 455";6,99; 5,000.00 z? 
Raczki;2022;39;Rudniki;39, 40;5,11; 9,720.00 z? 
Sejny;2022;40;Krejwi?ce;36/1;10; 30,600.00 z? 
Rutki;2022;41;O?arki Olszanka;"182, 183
255/2, 256, 266, 267";10; 17,360.00 z? 
Sejny;2022;42;Ho?ny Wolmera;"301,315,322
17,19/2,21/2,21/4";7,72; 23,620.00 z? 
Milejczyce;2022;43;Sobiatyno;811,992/1,1184/2,1184/7,1633;6,49; 4,250.00 z? 
Rutki;2022;44;Gr?dy Woniecko;1122/2;9,9; 16,560.00 z? 
Rutki;2022;45;Gr?dy Woniecko;1117/1;8,23; 13,640.00 z? 
Barg?ów Ko?cielny;2022;46;Barg?ów Ko?cielny;46;1,18; 2,240.00 z? 
Filipów;2022;48;Piecki;19, 26, 106, 107, 210/3, 212/3;6; 11,420.00 z? 
Sejny;2022;49;Bosse;102;6,98; 21,350.00 z? 
Suwa?ki;2022;50;Kropiwne Stare;61/1, 61/2;8,15; 15,510.00 z? 
Jeleniewo;2022;52;Krzemianka;152/7;10; 8,000.00 z? 
Sejny;2022;53;Bosse;68, 150, 154;10; 30,600.00 z? 
Przero?l;2022;54;Nowa Paw?ówka;"84
119/1";9,9; 9,210.00 z? 
Filipów;2022;55;?mieciuchówka;"141/4
213/1";10; 9,300.00 z? 
Kulesze Ko?cielne;2022;56;Stare Grodzkie;221/1,222,223,298;7,53; 12,620.00 z? 
Micha?owo;2022;57;Tylwica;"45/1, 46, 47
158/1, 160";3,93; 6,730.00 z? 
Giby;2022;58;Kukle;15;8,98; 12,150.00 z? 
Augustów;2022;59;Pruska Ma?a;129;1,2; 3,520.00 z? 
Sejny;2022;60;Posejanka;239;8,3; 25,390.00 z? 
Suwa?ki;2022;61;Korkliny;310/2;7,09; 7,800.00 z? 
Lipsk;2022;62;Sió?ko;24, 100,106;2,2; 3,880.00 z? 
Filipów;2022;63;Garbas Drugi;85/28;7,9; 15,040.00 z? 
Wi?ajny;2022;64;Mierkinie;25;3,41; 6,490.00 z? 
Pu?sk;2022;65;?wikiele;57/2, 61/2, 62, 64/4,65;5,53; 30,590.00 z? 
Barg?ów Ko?cielny;2022;66;Pomiany;185, 544;1,78; 3,380.00 z? 
Barg?ów Ko?cielny;2022;67;Barg?ów Dworny;116/6;2; 3,810.00 z? 
Filipów;2022;68;Czarne;70/2, 72, 73/2, 79;8,8; 16,760.00 z? 
Baka?arzewo;2022;69;Stary Skazdub;"19
380/2";9,96; 18,960.00 z? 
Barg?ów Ko?cielny;2022;70;Pomiany;40/4;4; 7,620.00 z? 
Sejny;2022;71;Bubele;"153/1, 184/2, 192/2
128";6,02; 8,050.00 z? 
Pu?sk;2022;72;Widugiery;182, 210/2;4,8; 14,680.00 z? 
Sejny;2022;73;Krejwi?ce;44, 45/1, 45/2;10; 30,590.00 z? 
Sejny;2022;74;Nowosady;53, 55/2, 55/3, 55/4, 55/5, 57/3;7,85; 24,020.00 z? 
Sejny;2022;75;Pó?koty;60;10; 30,590.00 z? 
Sejny;2022;76;Jenoraj?cie;26/1;4; 14,950.00 z? 
Sejny;2022;77;?egary;"519/3, 522/3
2/1";4,65; 14,220.00 z? 
Sejny;2022;78;Pó?koty;2/13, 12/9, 30/7;10; 30,590.00 z? 
Jeleniewo;2022;79;Jeleniewo;451/1, 452/5;3; 3,000.00 z? 
Ku?nica;2022;80;Czepiele;104/1, 105/2, 117/2, 118/3;13,33; 27,500.00 z? 
Raczki;2022;81;Chod?ki;"183/2, 185/1, 199/2,202/2,204/4
116, 118/1, 118/3";7,6; 14,480.00 z? 
Gródek;2022;83;Chomontowce;83/8;9,9; 20,170.00 z? 
Rutki;2022;84;Rutki;"493, 494
2/3, 2/4";10; 16,870.00 z? 
Rutki;2022;85;Kossaki Falki;90/1;9,62; 16,080.00 z? 
Gródek;2022;86;Narejki;223/3, 223/5, 227/1;9,9; 16,460.00 z? 
Bielsk Podlaski;2022;87;Grabowiec;1249, 1251;9,49; 16,030.00 z? 
Szypliszki;2022;88;Szypliszki;26/7, 26/8, 60/2;7,12; 7,830.00 z? 
Ku?nica;2022;89;Bilminy i Palestyna;129/4, 129/9, 129/10, 129/11;4,25; 8,200.00 z? 
Barg?ów Ko?cielny;2022;90;Judziki;8, 9;4,87; 9,280.00 z? 
Jeleniewo;2022;91;Udziejek;335/2;3,3; 7,000.00 z? 
Sokó?ka;2022;92;Za?picze;127/12, 127/15;7,3; 14,900.00 z? 
Jeleniewo;2022;93;Podwysokie Jeleniewskie;153;5,98; 6,580.00 z? 
Rutka-Tartak;2022;94;Bondziszki;26/8, 27;4,82; 10,570.00 z? 
Suwa?ki;2022;95;Bród Stary;"36/3
67- w?asno?? gminy, 84/1";4,61; 5,070.00 z? 
Jeleniewo;2022;96;Gulbieniszki;"97, 98
49, 54";9,46; 20,200.00 z? 
Giby;2022;97;Kukle;"22/5, 22/6, 22/8
54, 61/2, 104/18";9,93; 12,720.00 z? 
Pu?sk;2022;98;Szlinokiemie;141/3;5,3; 7,180.00 z? 
Sejny;2022;99;Radziucie;282/4, 283/7, 284, 285/2, 285/3;3,21; 4,110.00 z? 
Pu?sk;2022;100;Sejwy;7/3;3,4; 4,590.00 z? 
Sejny;2022;102;Sumowo;34/2;6,72; 12,800.00 z? 
Filipów;2022;103;Mieruniszki;"150/1
7/7";9,55; 11,220.00 z? 
Sejny;2022;107;Folwark Ber?niki;7;9,98; 12,970.00 z? 
?apy;2022;108;?upianka Stara;208/1, 210/3, 210/4;5,32; 4,040.00 z? 
Augustów;2022;112;Grabowo Kolonia;174;2; 2,000.00 z? 
Pu?sk;2022;113;Trompole;22/2, 24/4, 25/2;6,29; 7,390.00 z? 
Sejny;2022;114;?egary;11, 18/1;8,33; 11,250.00 z? 
Jeleniewo;2022;115;Czerwone Bagno;4/15;8,5; 7,905.00 z? 
Sejny;2022;116;Bosse;99, 100, 101;10; 30,590.00 z? 
Sejny;2022;117;Markiszki;5/1, 5/2, 4/3;6,1; 4,210.00 z? 
Jeleniewo;2022;118;?opuchowo;"179/8, 179/9
140/5, 142/4, 179";9,99; 11,750.00 z? 
Przero?l;2022;119;Ha?cza;27;4,86; 7,450.00 z? 
Jeleniewo;2022;120;Sidorówka;"107/2,109/2
14";6,51; 7,650.00 z? 
Jeleniewo;2022;125;Krzemianka;27, 159/2;9,97; 11,720.00 z? 
Lipsk;2022;126;Lipsk;"102
816";10; 11,000.00 z? 
Lipsk;2022;128;Jaczniki;288, 289, 290;5,63; 6,190.00 z? 
Lipsk;2022;129;Sió?ko;13, 26, 98;2,7; 4,990.00 z? 
Sztabin;2022;130;Czarny Las;8/3;6,84; 31,750.00 z? 
Sokó?ka;2022;132;Kamionka Stara;803/2;2,74; 6,630.00 z? 
Sejny;2022;133;Ho?ny Mejera;"96, 102
20, 22/1
69
";4; 12,240.00 z? 
Sejny;2022;134;Ber?niki;55/3,55/5,55/7,55/15;5,44; 16,640.00 z? 
Sokó?ka;2022;135;Za?picze;112/3,112/4;5,5; 8,080.00 z? 
Sejny;2022;137;Radziuszki;91,92,95/7,96,101/2;5,16; 15,790.00 z? 
Sejny;2022;138;Ogrodniki;"179/1,180
226/1,196/3";8,78; 11,840.00 z? 
Raczki;2022;139;Lipówka;10/2,39,61,62/2;9,92; 18,900.00 z? 
Jeleniewo;2022;140;Sidorówka;17;6,19; 11,790.00 z? 
Jeleniewo;2022;141;?cibowo;10,13,14,18,73,74;6,3; 11,990.00 z? 
Suwa?ki;2022;142;Ma?a Huta;417;1,65; 1,650.00 z? 
Sejny;2022;143;Krejwi?ce;"8/10
28/25";4,38; 5,870.00 z? 
Sejny;2022;144;Grudziewszczyzna;34,37,41;3,15; 4,240.00 z? 
Raczki;2022;145;Szczodruchy;74,75,79,86,90,91,95;6,63; 7,310.00 z? 
Baka?arzewo;2022;146;Kamionka Poprzeczna;9;0,74; 1,410.00 z? 
Barg?ów Ko?cielny;2022;147;Solistówka;"55/1,231
53/6";6,58; 12,530.00 z? 
Przero?l;2022;148;Wersele;101;2,4; 4,560.00 z? 
Sejny;2022;149;Marynowo;"149,150,167,168,209,211,221
983
411/1,412/3,413/1";10; 30,590.00 z? 
Szypliszki;2022;150;D?bniak;5/11,61/5;6,8; 10,370.00 z? 
Pu?sk;2022;151;Skarkiszki;"1,9,12
77";10; 30,590.00 z? 
Jeleniewo;2022;152;Zarzecze Jeleniewskie;13/1,15/1,16/11,16/12;1,25; 3,270.00 z? 
Jeleniewo;2022;153;Krzemianka;"199
318/2";9,92; 13,160.00 z? 
Jeleniewo;2022;154;Rutka;247;10; 11,750.00 z? 
Jeleniewo;2022;155;B?askowizna;204/2,205;10; 10,000.00 z? 
Pu?sk;2022;156;Rejsztokiemie;"111/4,274/2,275/1,275/2
184/2,185,186,217,218,405/2";9,79; 17,880.00 z? 
Zawady;2022;157;Targonie Krytu?y;53/2;1,71; 5,020.00 z? 
Sidra;2022;158;?niczany;"135/3,136,149/2
85/1";8,89; 16,410.00 z? 
Pu?sk;2022;159;Wo?y?ce;132/1 - w QGIS 132/4;10; 30,590.00 z? 
Jeleniewo;2022;160;Leszczewo;"27/10
46,48";8,32; 9,780.00 z? 
Jeleniewo;2022;161;Bachanowo;"16/4
231/3, 245/4
23/6";5,16; 6,060.00 z? 
Suwa?ki;2022;163;Czarnakowizna;158,159;7,5; 8,810.00 z? 
Jeleniewo;2022;164;Sidory;88;2,77; 19,800.00 z? 
Sejny;2022;165;Pó?koty;13/3;5,16; 6,060.00 z? 
Wi?ajny;2022;166;Dzierwany;"5/1
47/2";4,3; 23,950.00 z? 
Wi?ajny;2022;167;Wi?ajny;475/19;1,93; 3,890.00 z? 
Szypliszki;2022;168;G??boki Rów;"91/2,100
2/1";9,98; 11,730.00 z? 
Barg?ów Ko?cielny;2022;169;Bu?kowizna;3/4;9; 8,100.00 z? 
Jeleniewo;2022;171;Szeszupka;3,9;10; 14,000.00 z? 
Przero?l;2022;172;Morgi;174,175/3,177/9,178/4,178/6,202,244;4,66; 8,880.00 z? 
Rutka-Tartak;2022;173;Poszeszupie-Folwark;66/4;5,8; 11,040.00 z? 
Krasnopol;2022;174;Remie?ki?;170;0,67; 1,280.00 z? 
Lipsk;2022;175;Rogo?ynek;62/2,169,188;3,59; 6,830.00 z? 
Jeleniewo;2022;176;Bachanowo;"17/3,17/9
14,17";10; 11,750.00 z? 
Augustów;2022;177;?arnowo Drugie;185/10;1,78; 3,380.00 z? 
Sejny;2022;179;Dusznica;"84,85,135/4,139/3,139/9,139/11,
139/13,141/1";10; 30,590.00 z? 
Jeleniewo;2022;180;Wo?ownia;513/4,514/1;3,95; 4,640.00 z? 
Baka?arzewo;2022;181;Stary Skazdub;310,376;9,7; 18,480.00 z? 
Krasnopol;2022;182;?ubronajcie;9/1,10/1,10/2;6,27; 8,400.00 z? 
Raczki;2022;183;Józefowo;69/2,109,136,176,204;9,27; 17,630.00 z? 
Jeleniewo;2022;184;Szurpi?y;315;8,5; 80,460.00 z? 
Sejny;2022;185;?umbie;7/1,7/3;4,71; 14,410.00 z? 
Krasnopol;2022;186;Krasnopol;1640/4,1642/2,1643/4;6,31; 19,300.00 z? 
Krasnopol;2022;187;G?uszyn;184/6;3,6; 6,920.00 z? 
Barg?ów Ko?cielny;2022;188;Bu?kowizna;"19/2,19/11,39/3
37/1";4,08; 7,760.00 z? 
Barg?ów Ko?cielny;2022;189;Bu?kowizna;9/3,10/6,10/8;10; 19,030.00 z? 
Raczki;2022;190;Krukówek;32,50,51/2;9,97; 26,430.00 z? 
