gmina;Rok;nr_sprawy;lokalizacja;nr_dzialki;pow_kamieni; wartosc_kamieni 
Sejny;2023;41;Grudzie?szczyzna;33/1,33/2,36;4,52; 7,530.00 z? 
Giby;2023;42;Giby;"151,1299/1,1299/2
70/1";4,17; 7,231.00 z? 
Sejny;2023;44;Bosse;"115,116
3/12
78";10; 33,824.00 z? 
Sejny;2023;45;Pó?koty;62,63;10; 33,824.00 z? 
Sejny;2023;46;Folwark Ber?niki;"3/5
83,90";10; 14,000.00 z? 
Giby;2023;47;Dani?owce;2,52;6,93; 10,602.00 z? 
Sejny;2023;48;Folwark Ber?niki;"3/6
5/2,14/2
22,23/3,25/1";9,31; 13,965.00 z? 
Sejny;2023;49;Po?kuny;36/4;6,62; 9,797.00 z? 
Rutki;2023;50;M??enin;"73,150,151
16/1,17/2,18/2";9,99; 12,987.00 z? 
Rutki;2023;51;Czochanie Góra;"4/3,4/6
29/1,29/2,34/1";9,54; 10,494.00 z? 
Zambrów;2023;52;Konopki Ja?brzyków Stok;216/5,216/12;8,9; 12,460.00 z? 
Rutki;2023;53;Kalinówka Basie;10/8,106/1;4; 5,600.00 z? 
Giby;2023;54;Pogorzelec;197;7,04; 23,174.00 z? 
Sejny;2023;55;Zaleskie;3/11,3/12,34/3,48/3,55/1,100/1;7,4; 25,029.00 z? 
Jeleniewo;2023;56;Podwysokie Jeleniewskie;"151/2,67/2
279";9,96; 10,956.00 z? 
Giby;2023;57;Konstantynówka;6,12;3,67; 12,081.00 z? 
Baka?arzewo;2023;58;Nowy Skazdub;"113
275,276";8,15; brak 
Sejny;2023;59;?egary;144;3,44; 11,324.00 z? 
Giby;2023;60;Posejnele;3/2,3/3,3/6;4,66; 15,340.00 z? 
Baka?arzewo;2023;62;Stary Skazdub;375;4,58; brak 
Jeleniewo;2023;63;Podwysokie Jeleniewskie;151/1;4,65; 5,580.00 z? 
Sejny;2023;64;?wiackie;113;5,05; 17,081.00 z? 
Sejny;2023;66;Dubowo;40,57;1,44; 2,340.00 z? 
Giby;2023;67;Fr?cki;"23/9,23/10,23/11,24/11,24/12
405/2";10; 33,824.00 z? 
Jeleniewo;2023;68;Udryn;"70,187/2
293/1";2,42; 4,320.00 z? 
Jeleniewo;2023;69;?ywa Woda;189/2,193/2,195/1;10,1; 18,140.00 z? 
Filipów;2023;70;Jemieliste;61/4,61/5,61/6,62/2,62/4,63/3;5,37; 12,320.00 z? 
Rutka-Tartak;2023;71;Ho?ny Wolmera;"244,172/7
9/4";7; 23,676.00 z? 
Jeleniewo;2023;72;Malesowizna;"1/10
87";10; 13,750.00 z? 
Suchowola;2023;73;Chmielniki;"161
10
22";8,25; 27,904.00 z? 
Goni?dz;2023;74;Krzecze;89,90/2,91/4,91/6;6,01; 7,212.00 z? 
Micha?owo;2023;75;Tylwica;44/4;6; 9,000.00 z? 
Micha?owo;2023;76;Krynica Majdan;41;2,25; 3,150.00 z? 
Zawady;2023;77;Targonie Krytu?y;20/1,54/3;5,49; 8,617.00 z? 
Gródek;2023;78;Narejki;337;10; 15,000.00 z? 
Gródek;2023;79;Chomontowce;109/2;7; 10,500.00 z? 
D?browa Bia?ostocka;2023;84;Nowinka;412 ???? 4/2;0,5; brak 
Sejny;2023;85;Krejwi?ce;42/5;6,25; 10,327.00 z? 
Jeleniewo;2023;86;Krzemianka;13/5,13/7;10,2; 5,000.00 z? 
Filipów;2023;88;Agrafinówka;"5/2
270,273";5,17; brak 
Krasnopol;2023;89;Murowany Most;"76/2
17/2,23/2,24";6,85; 23,088.00 z? 
Krasnopol;2023;90;Krasne;30,31;5,6; 8,231.00 z? 
Giby;2023;91;Kukle;"21/1,21/2
23/1";6,23; 10,312.00 z? 
Barg?ów Ko?cielny;2023;93;Pruska;76/1;2; 6,139.00 z? 
Krasnopol;2023;94;Krasnopol;1023/3,1023/4,1024,1025;8,2; 13,530.00 z? 
Sejny;2023;96;Ber?niki;"2/3,3/6
26/10";6,35; 10,522.00 z? 
Baka?arzewo;2023;98;Zaj?czkowo;"106/2,109/3
122/2
123";5,25; brak 
Barg?ów Ko?cielny;2023;99;Pomiany;664/2,665;9,41; 31,829.00 z? 
Sejny;2023;100;Radziuszki;181,182;3,39; 7,784.00 z? 
Pu?sk;2023;101;Krejwiany;129/6;10; 8,800.00 z? 
Pu?sk;2023;102;Kompocie;10,49/4;6,05; 20,463.00 z? 
Goni?dz;2023;103;Mierkienniki;869/1;2,6; 2,310.00 z? 
Pu?sk;2023;104;Pe?ele;74/1,103/,104,106;7,01; 23,710.00 z? 
Wi?ajny;2023;105;Wi?ajny;544/4,546/2;4,49; 13,090.00 z? 
Sejny;2023;106;Sumowo;70/3,133/2,192;7,22; 24,458.00 z? 
Rutka-Tartak;2023;107;Kupowo;"73,78
26,27";10; 16,000.00 z? 
Jeleniewo;2023;108;Sidorówka;17;6,9; 11,040.00 z? 
Filipów;2023;109;Czarne;19/1,19/4;3; 4,800.00 z? 
Filipów;2023;110;Czarne;313/1;4,5; 7,200.00 z? 
Wi?ajny;2023;111;Dzierwany;6,32;8,07; brak 
Jeleniewo;2023;112;Zarzecze Jeleniewskie;"2/2,3/2
1/9,59";6,7; 14,050.00 z? 
Wi?ajny;2023;113;K?ajpeda;7,48;10; 16,000.00 z? 
Filipów;2023;114;Mieruniszki;237/99;10; 16,000.00 z? 
Jeleniewo;2023;115;Jeleniewo;"465,466
28,125,156/1";10; 16,000.00 z? 
Przero?l;2023;116;Przero?l;"2131,2132/2
4/3,5/2";10; 16,000.00 z? 
Jeleniewo;2023;118;Malesowizna;17/13,18/2,19/3;6,29; 8,212.00 z? 
Jeleniewo;2023;119;Malesowizna;23/1;7,05; 7,755.00 z? 
Wi?ajny;2023;120;Dziadówek;"10,11
5/1
47/2";7,45; 38,360.00 z? 
Jeleniewo;2023;121;?ywa Woda;208/2;5,3; 5,830.00 z? 
Baka?arzewo;2023;122;Stary Skazdub;363,362,377,438/2,305,330,331,352,353;9,82; brak 
Baka?arzewo;2023;123;Stary Skazdub;"380/2
19";9,92; brak 
Przero?l;2023;124;Ha?cza;101/1;7; 11,200.00 z? 
